,Time,data,data_numeric
720,1732617623.14328,Head Camera,2
721,1732617623.22799,Head Camera,2
722,1732617623.3230865,Head Camera,2
723,1732617623.437055,Head Camera,2
724,1732617623.5882957,Head Camera,2
725,1732617623.8260758,Head Camera,2
726,1732617623.93601,Head Camera,2
727,1732617624.050885,Head Camera,2
728,1732617624.166698,Head Camera,2
729,1732617624.2224972,Head Camera,2
730,1732617624.5061662,Head Camera,2
731,1732617624.6057134,Head Camera,2
732,1732617624.7157087,Head Camera,2
733,1732617624.9184978,Head Camera,2
734,1732617624.995425,Head Camera,2
735,1732617625.2286289,Head Camera,2
736,1732617625.3077395,Head Camera,2
737,1732617625.5118182,Head Camera,2
738,1732617625.590611,Head Camera,2
739,1732617625.7759812,Head Camera,2
740,1732617625.9793253,Head Camera,2
741,1732617626.174891,Head Camera,2
742,1732617626.3731227,Head Camera,2
743,1732617626.445229,Head Camera,2
744,1732617626.6392417,Head Camera,2
